ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
453026331/Pulumi.yaml,453026331,453026331/src/index.ts,Pulumi,typescript,rawkode-academy-platform,A minimal Kubernetes TypeScript Pulumi program,nodejs,,,0,0,0,
497668388/cdktf/cdktf.json,497668388,497668388/cdktf,CDKTF,typescript,,,typescript,,,0,0,0,
476795807/Infrastructure/environment/Pulumi.yaml,476795807,476795807/Infrastructure/environment,Pulumi,typescript,environment,Sample environment,nodejs,,,0,0,0,
341608763/cdktf.json,341608763,341608763,CDKTF,typescript,,,typescript,,,0,0,0,
343573519/Pulumi.yaml,343573519,343573519,Pulumi,typescript,disappearing-policies,A minimal example of a Pulumi bug,nodejs,,,0,0,0,
343573519/child-infra/Pulumi.yaml,343573519,343573519/child-infra,Pulumi,typescript,disappearing-policies-child-infra,Child Pulumi Project,nodejs,,,0,0,0,
485230923/Pulumi.yaml,485230923,485230923,Pulumi,typescript,infrastructure,The backend resources used to host WaffleHacks,nodejs,,,0,0,0,
468010773/tests/examples/compat/v0.10.0/minimal/Pulumi.yaml,468010773,468010773/tests/examples/compat/v0.10.0/minimal,Pulumi,typescript,minimal,A minimal Pulumi program.,nodejs,,,0,0,0,
468010773/tests/examples/formattable/Pulumi.yaml,468010773,468010773/tests/examples/formattable,Pulumi,typescript,formattable,A Pulumi program that produces output with Go format elements.,nodejs,,,0,0,0,
468010773/tests/examples/dynamic-provider/multiple-turns-2/Pulumi.yaml,468010773,468010773/tests/examples/dynamic-provider/multiple-turns-2,Pulumi,typescript,multiple-turns,Tests a Pulumi program with multiple turns.,nodejs,,,0,0,0,
468010773/tests/examples/dynamic-provider/simple/Pulumi.yaml,468010773,468010773/tests/examples/dynamic-provider/simple,Pulumi,typescript,four-function,A silly four-function calculator.,nodejs,,,0,0,0,
468010773/tests/examples/dynamic-provider/class-with-comments/Pulumi.yaml,468010773,468010773/tests/examples/dynamic-provider/class-with-comments,Pulumi,typescript,class-with-comments,A class with comments in it.,nodejs,,,0,0,0,
468010773/tests/examples/dynamic-provider/derived-inputs/Pulumi.yaml,468010773,468010773/tests/examples/dynamic-provider/derived-inputs,Pulumi,typescript,derived-inputs,Tests a Pulumi program with one resource's inputs derived from other another resource's outputs.,nodejs,,,0,0,0,
468010773/tests/examples/dynamic-provider/multiple-turns/Pulumi.yaml,468010773,468010773/tests/examples/dynamic-provider/multiple-turns,Pulumi,typescript,multiple-turns,Tests a Pulumi program with multiple turns.,nodejs,,,0,0,0,
468010773/tests/examples/minimal/Pulumi.yaml,468010773,468010773/tests/examples/minimal,Pulumi,javascript,minimal,A minimal Pulumi program.,javascript,,,0,0,0,
